Date,Daily_Cases,Recoveries,Deaths,Current_ICU___Active,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,First_Doses,Second_Doses,Cumulative_First_Doses,Cumulative_Second_Doses,Response_Level,Unemployment_Rate,Gatherings,Care_Facilities,K-12_Schools,Child_Care_Facilities,Retail/Personal_Service/Restaurants/Beverage_Rooms,Recreation_Facilities,Theatres/Casinos,Indoor_Mask_Mandate,MB_Travel_Quarantine,Total_Non_Resident_Travellers (Monthly),Total_CAN_Travellers_Returning_Abroad (Monthly),Daily_Alpha_%_Of_Total_Variant,Daily_Beta_%_Of_Total,Gamma %,Uncategorized %,Kappa %,Delta %
2020-03-10 - 2020-03-16,0.857142857,0,0,0,0,2,0.214285714,285,,,,,,6.7,43,47,51,55,59,63,67,70,73,13359,71838,,,,,,
2020-03-17 - 2020-03-23,2,0.142857143,0,0,0.571428571,14.28571429,1.014285714,318.7142857,,,,,,6.7,45,50,51,58,59,66,69,70,73,13359,71838,,,,,,
2020-03-24 - 2020-03-30,12.14285714,1.714285714,0.142857143,0.857142857,1,51.14285714,2.128571429,623.8571429,,,,,,6.7,45,50,51,58,59,66,69,70,74,13359,71838,,,,,,
2020-03-31 - 2020-04-06,15.85714286,8.571428571,0.285714286,5.714285714,2.857142857,137.7142857,2.3,760.4285714,,,,,,10.64285714,46,50,54,58,62,66,69,70,74,3273.857143,13069.71429,,,,,,
2020-04-07 - 2020-04-13,3.571428571,12,0.142857143,5.142857143,4.142857143,85.85714286,1,507.5714286,,,,,,11.3,46,50,54,58,62,66,69,70,74,1593,3275,,,,,,
2020-04-14 - 2020-04-20,2.428571429,8.142857143,0.285714286,4.428571429,3.428571429,41.42857143,0.614285714,394.5714286,,,,,,11.3,46,50,54,58,62,66,69,70,74,1593,3275,,,,,,
2020-04-21 - 2020-04-27,2.142857143,3.571428571,0,2.714285714,3.857142857,19.71428571,0.542857143,460.7142857,,,,,,11.3,46,50,54,58,62,66,69,70,74,1593,3275,,,,,,
2020-04-28 - 2020-05-01,1.666666667,3.333333333,0,0.666666667,4.666666667,16.66666667,0.466666667,510,,,,,,11.3,46,50,54,58,62,66,69,70,74,1593,3275,,,,,,
2020-09-01 - 2020-09-07,15.85714286,30.57142857,0.285714286,1.714285714,8,191.7142857,1.342857143,1515.285714,0,0,0,0,37,7.1,44,48,52,56,60,64,68,71,74,2555,4352,,,,,,
2020-09-08 - 2020-09-14,16.85714286,17.85714286,0,2.714285714,8,150.5714286,1.357142857,1282.857143,0,0,0,0,37,7.1,44,48,52,56,60,64,68,71,74,2555,4352,,,,,,
2020-09-15 - 2020-09-21,23.71428571,17.42857143,0.428571429,1.285714286,5.428571429,176.4285714,1.757142857,1419,0,0,0,0,37,7.1,44,48,52,56,60,64,68,71,74,2555,4352,,,,,,
2020-09-22 - 2020-09-28,46.71428571,20.71428571,0.142857143,5.285714286,5.428571429,299.8571429,2.328571429,1995,0,0,0,0,37,7.1,44,48,52,56,60,64,68,71,74,2555,4352,,,,,,
2020-09-29 - 2020-10-05,40.57142857,19.57142857,0.571428571,8,11.57142857,441,2.228571429,1890.571429,0,0,0,0,37,7.028571429,44,48,52,56,60,64,68,71,74,2742.142857,4904.142857,,,,,,
2020-10-06 - 2020-10-12,81.85714286,25.28571429,1.714285714,6.428571429,18.42857143,701,3.085714286,2578.142857,0,0,0,0,37,7,44,48,52,56,60,64,68,71,74,2817,5125,,,,,,
2020-10-13 - 2020-10-19,101.1428571,39.14285714,1,4,18.28571429,1150.857143,4.671428571,2223.428571,0,0,0,0,37,7,44,48,52,56,60,64,68,71,74,2817,5125,,,,,,
2020-10-20 - 2020-10-26,165.7142857,68.85714286,2.285714286,8,52.57142857,1648.285714,6.385714286,2221.285714,0,0,0,0,37,7,44,48,52,56,60,64,68,71,74,2817,5125,,,,,,
2020-10-27 - 2020-11-02,258.1428571,92.57142857,4.857142857,16.71428571,94.71428571,2520.142857,8.5,3153.285714,0,0,0,0,37,7.142857143,44,48,52,56,60,64,68,71,74,2838.428571,4804.428571,,,,,,
2020-11-03 - 2020-11-09,344.5714286,112.7142857,6.142857143,22.42857143,145.1428571,3851,9.185714286,3563.571429,0,0,0,0,38,7.5,45,49,53,57,61,65,69,72,74,2892,4003,,,,,,
2020-11-10 - 2020-11-16,402.7142857,165.8571429,8.428571429,38.42857143,183.7142857,5513.285714,12.07142857,3481.857143,0,0,0,0,39,7.5,46,50,54,58,62,66,69,72,74,2892,4003,,,,,,
2020-11-17 - 2020-11-23,416.2857143,222.8571429,10.28571429,45.14285714,228,6790.857143,13.67142857,3232.285714,0,0,0,0,39,7.5,46,50,54,58,62,66,69,72,74,2892,4003,,,,,,
2020-11-24 - 2020-11-30,354.8571429,279.2857143,12.57142857,47.28571429,275.4285714,7641.857143,13.58571429,2826.714286,0,0,0,0,39,7.5,46,50,54,58,62,66,69,72,74,2892,4003,,,,,,
