Daily_Cases,Recoveries,Deaths,Current_ICU___Active,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,First_Doses,Second_Doses,Cumulative_First_Doses,Cumulative_Second_Doses,Response_Level,Unemployment_Rate,Gatherings,Care_Facilities,K-12_Schools,Child_Care_Facilities,Restaurants/Beverage Rooms/Retail and Personal Service,Recreation_Facilities,Casino Facilities/Theatres,Indoor_Mask_Mandate,MB_Travel_Quarantine,Total_Non_Resident_Travellers (Monthly),Total_CAN_Travellers_Returning_Abroad (Monthly),Daily_Alpha_%_Of_Total_Variant,Daily_Beta_%_Of_Total,Gamma %,Uncategorized %,Kappa %,Delta %
1,5,7,11,14,17,20,22,26,30,33,36,38,40,45,49,53,57,60,65,69,72,75,76,79,83,,88,93,,97
1,4,7,10,13,16,19,22,26,30,33,36,38,40,45,49,53,57,60,65,69,72,75,76,79,82,,,93,,97
1,5,7,11,13,16,20,22,26,30,33,36,38,40,45,49,53,57,60,65,69,72,75,76,79,,,88,93,,98
2,5,7,11,14,17,21,24,27,28,31,34,39,41,46,50,54,58,62,66,69,72,74,77,79,84,,,91,,
1,5,7,11,14,16,21,22,26,30,33,35,38,40,45,49,53,57,60,65,69,72,75,76,79,84,85,88,92,,97
3,6,7,11,14,17,21,24,27,29,32,34,39,41,46,50,54,58,62,66,69,72,74,77,79,84,,88,91,,
1,4,7,10,13,16,19,22,26,30,33,36,38,40,45,49,53,57,60,65,69,72,75,76,79,83,,,93,,97
2,5,7,11,14,17,20,23,27,29,31,34,39,41,46,50,54,58,62,66,69,72,74,77,79,84,,,91,,
2,6,7,11,14,17,21,24,27,28,31,34,39,41,46,50,54,58,62,66,69,72,74,77,79,84,,88,91,,
2,6,7,12,14,17,21,22,26,30,33,35,38,42,45,49,43,57,60,65,69,72,75,76,80,84,85,88,91,,97
3,6,7,12,15,18,21,24,27,29,32,34,39,40,46,50,54,58,62,66,69,72,74,77,80,83,,88,93,,
3,6,7,12,14,17,21,24,27,28,32,34,39,40,46,50,54,58,62,66,69,72,74,77,80,84,85,88,92,,
2,6,7,12,14,17,21,23,26,30,33,34,39,42,46,50,54,58,62,66,69,72,75,76,80,83,85,88,92,94,97
3,6,7,12,15,18,21,24,27,29,32,34,39,40,46,50,54,58,62,66,69,72,74,77,80,83,85,88,93,94,97
3,6,7,12,15,18,21,24,27,29,32,34,39,40,46,50,54,58,62,66,69,72,74,77,80,83,85,88,93,,
2,6,7,12,15,17,21,23,26,30,33,34,39,42,46,50,54,58,62,66,69,72,75,76,80,83,85,88,92,94,97
3,6,7,12,15,18,21,24,27,30,33,34,39,42,46,50,54,58,62,66,69,72,74,76,80,,85,88,93,94,97
3,6,8,12,15,18,21,24,27,30,33,34,39,41,46,50,54,58,62,66,69,72,74,76,80,84,85,88,92,,
